2026-03-06 14:17:20,752 [DEBUG] :::ImportedClass.read_config(class) Registered: GeneralFederalCitation (base: BaseCitation)
2026-03-06 14:17:20,753 [DEBUG] :::ImportedClass.read_config(class) Registered: StateCitation (base: BaseCitation)
2026-03-06 14:17:20,753 [DEBUG] :::ImportedClass.read_config(class) Registered: UnsupportedCitation (base: BaseCitation)
2026-03-06 14:17:20,753 [INFO] :::main(function) Citation engine ready.
2026-03-06 14:17:20,753 [INFO] :::cmd_selftest(function) Self-test: UnitTestCitations.txt
2026-03-06 14:17:22,237 [INFO] :::cmd_selftest(function)   [PASS] GOOD validated: <GeneralFederalCitation: ('United States v. Warshak', '631', 'F.3d', '266')>
2026-03-06 14:17:22,943 [INFO] :::cmd_selftest(function)   [PASS] GOOD validated: <GeneralFederalCitation: ('Burwell v. Hobby Lobby Stores, Inc.', '134', 'S. Ct.', '2751')>
2026-03-06 14:17:23,542 [INFO] :::cmd_selftest(function)   [PASS] GOOD validated: <GeneralFederalCitation: ('Heien v. North Carolina', '135', 'S. Ct.', '530')>
2026-03-06 14:17:24,283 [INFO] :::cmd_selftest(function)   [PASS] GOOD validated: <GeneralFederalCitation: ('Integrity Staffing Solutions, Inc. v. Busk', '135', 'S. Ct.', '513')>
2026-03-06 14:17:24,902 [INFO] :::cmd_selftest(function)   [PASS] GOOD validated: <GeneralFederalCitation: ('Dart Cherokee Basin Operating Co. v. Owens', '135', 'S. Ct.', '547')>
2026-03-06 14:17:25,851 [INFO] :::cmd_selftest(function)   [PASS] GOOD validated: <GeneralFederalCitation: ('United States v. Auernheimer', '748', 'F.3d', '525')>
2026-03-06 14:17:26,547 [INFO] :::cmd_selftest(function)   [PASS] GOOD validated: <GeneralFederalCitation: ('United States v. Newman', '773', 'F.3d', '438')>
2026-03-06 14:17:27,091 [INFO] :::cmd_selftest(function)   [PASS] BAD correctly rejected: <GeneralFederalCitation: ('United States v. Smith', '999', 'F.3d', '999')>
2026-03-06 14:17:27,716 [INFO] :::cmd_selftest(function)   [PASS] BAD correctly rejected: <GeneralFederalCitation: ('People v. Jones', '123', 'U.S.', '456')>
2026-03-06 14:17:28,310 [INFO] :::cmd_selftest(function)   [PASS] BAD correctly rejected: <GeneralFederalCitation: ('Riley v. California', '573', 'F.4th', '373')>
2026-03-06 14:17:28,858 [INFO] :::cmd_selftest(function)   [PASS] BAD correctly rejected: <GeneralFederalCitation: ('United States v. Newman', '773', 'F.3d', '9999')>
2026-03-06 14:17:29,360 [INFO] :::cmd_selftest(function)   [PASS] BAD correctly rejected: <GeneralFederalCitation: ('United States v. Doe', '000', 'F.3d', '000')>
2026-03-06 14:17:30,004 [INFO] :::cmd_selftest(function)   [PASS] BAD correctly rejected: <GeneralFederalCitation: ('United States v. Jones', '565', 'F.3d', '1200')>
2026-03-06 14:17:30,022 [WARNING] :::cmd_selftest(function)   no match: *United States v. Johnson, No. 1:99-cr-999* (sealed or nonexistent docket)
2026-03-06 14:17:30,022 [INFO] :::cmd_selftest(function) Self-test PASSED
